"OperationType","Title","PublicationDate","Guid","Description","DescriptionIsParsable","QuickDescription","Notes","SubChanges"
,"Sway","9/22/2015 5:37:32 PM","065a41d9-9487-4462-9999-738d75f95996","Effective the week of 9/21: Sway is adding static IP endpoints to assist customers who prefer/require IP endpoints vs. FQDN endpoints. (40.76.22.51, 40.76.30.255, 40.114.45.182, 40.114.15.142, 40.114.14.121, 40.114.8.214, 40.118.210.94, 40.112.188.120, 40.118.131.134, 40.118.135.86, 40.118.131.27, 40.118.209.10)","False",,,
,"Office 365 Portal","9/22/2015 5:37:32 PM","fa304bfc-5029-4fe7-817e-f9205cfb403a","Effective in 30 days, several new IP addresses are going live (23.96.240.104, 40.83.189.49, 40.122.168.103, 104.46.104.228, 104.214.35.244, 207.46.153.155)","False",,,
,"Office 365 Identity","10/6/2015 1:06:40 PM","4cfc402a-fe70-417e-b920-5dfb303bfd50","Effective in 30 days, several new IP addresses are going live (40.115.48.147, 40.115.52.169, 40.115.54.162, 40.115.54.55, 40.115.55.208, 104.47.143.47, 104.47.146.37, 137.116.200.108, 138.91.56.78, 138.91.56.97, 138.91.58.210, 138.91.59.239, 138.91.59.78, 138.91.60.177, 138.91.61.153, 138.91.61.35)","False",,,
,"Exchange Online","10/8/2015 4:43:47 PM","efa204cf-c402-4afe-a018-ef9105dfb303","Effective immediately: the latest Exchange Online Hybrid Configuration Wizard also uses this FQDN (*.blob.core.windows.net) and the Exchange Server 2010 HCW uses the following IP ranges (65.55.79.128/25, 207.46.150.128/25, 207.46.164.0/24).","False",,,
,"Office 365 Identity","10/22/2015 3:48:37 PM","7c3eda4c-4390-4784-9eee-6abd55b4d155","Adding endpoints for the upcoming release of Azure AD Connect Health. Before implementing in your environment ensure these are accessible (*.blob.core.windows.net, *.queue.core.windows.net, *.servicebus.windows.net, *.adhybridhealth.azure.com, *.table.core.windows.net, policykeyservice.dc.ad.msft.net, login.windows.net, login.microsoftonline.com, secure.aadcdn.microsoftonline-p.com).","False",,,
,"Office 365 Portal","10/26/2015 2:54:58 PM","dfa303bf-c502-49fe-b107-ef9205cfb403","Effective in 30 days, IP addresses going live (23.97.61.137, 40.118.255.5, 40.122.131.63, 40.124.9.212)","False",,,
,"Skype for Business Online","10/28/2015 2:48:45 PM","9fe7107e-fa20-44cf-8402-afd6018ef810","Effective in 7 days: Replacing six IPv6 endpoints. Removing: (2a01:111:6:4::/64, 2a01:111:12:5::/64, 2a01:111:41:1::/64, 2a01:111:43:1::/64, 2a01:111:306:2::/64, 2a01:111:307:2::/64). Adding: (2a01:111:2007:4::/64, 2a01:111:2034:3::/64, 2a01:111:2036:3::/64, 2a01:111:203e:2::/64, 2a01:111:2040:2::/64, 2a01:111:2046:5::/64)","False",,,
,"Office 365 Identity","10/29/2015 4:02:52 PM","018fe810-6dfa-4204-8fc4-029fe7017ef9","Effective Nov 9, the following subnet range will begin servicing customers (104.44.218.128/25)","False",,,
,"Sway","11/3/2015 11:39:08 AM","fe7107ef-9205-4cfb-803a-fd6018ff8106","UPDATE: Effective immediately, the following endpoints range will begin servicing customers (40.114.40.12, 40.114.51.239, 40.76.213.143, 40.76.216.125, 40.76.221.181, 40.76.222.175, 40.83.185.108, 40.114.51.204, 104.41.155.129, 104.210.43.160, 137.135.51.71, 137.135.52.204, 138.91.155.70, 138.91.159.117, 138.91.160.172, 138.91.245.66)","False",,,
,"Sway","11/3/2015 11:39:08 AM","204cfc40-2afd-4601-8ef8-105dfb303bfd","Effective immediately, the following endpoints will begin servicing customersĂ‚Â Ă‚Â (eus-005.www.sway.com, eus-006.www.sway.com, eus-007.www.sway.com, eus-008.www.sway.com, eus-009.www.sway.com, eus-00a.www.sway.com, eus-00b.www.sway.com, eus-00c.www.sway.com, eus-00d.www.sway.com, eus-00e.www.sway.com, wus-005.www.sway.com, wus-006.www.sway.com, wus-007.www.sway.com, wus-008.www.sway.com, wus-009.www.sway.com, wus-00a.www.sway.com, wus-00b.www.sway.com, wus-00c.www.sway.com, wus-00d.www.sway.com, wus-00e.www.sway.com)","False",,,
,"Office 365 Portal","11/13/2015 12:09:43 PM","17ef9205-dfb3-403b-bd50-19fe8106dfa2","Effective in 30 days, adding (65.52.35.54, 104.42.231.54, 104.208.36.190)","False",,,
,"Planner","11/18/2015 9:52:20 AM","e8106dfa-304b-4fc5-829f-e7017ef9205c","Effective in 30+ days: The following new endpoints will be required for customers using Planner. FQDNs (tasks.office.com, cus-tasks.osi.office.net, eus-tasks.osi.office.net, wus-tasks.osi.office.net, ea-tasks.osi.office.net, sea-tasks.osi.office.net, neu-tasks.osi.office.net, weu-tasks.osi.office.net, ajax.aspnetcdn.com, prod.msocdn.com, clientlog.portal.office.com, www.outlook.com, controls.office.com, outlook.office365.com) IP Addresses (65.52.168.35, 137.116.129.218, 137.135.177.165, 168.61.184.237, 168.62.4.34, 168.62.60.117, 168.63.98.5)","False",,,
,"Office 365 Portal","11/20/2015 12:15:01 PM","d6018ef8-106d-4fa3-84bf-c5029fe7107e","Effective 11/20/2015, the following IPv4 ranges will be servicing requests (13.107.1.0/24, 13.107.3.0/24, 13.107.4.0/24, 13.107.5.0/24, 13.107.6.0/24, 13.107.7.0/24, 13.107.9.0/24, 13.107.12.0/24, 13.107.13.0/24, 13.107.15.0/24, 13.107.16.0/24, 131.253.3.0/24, 131.253.21.0/24, 131.253.33.0/24, 191.234.4.0/24, 191.234.5.0/24, 191.234.7.0/24, 202.89.233.0/24, 204.79.197.0/24) and the corresponding IPv6 ranges are (2620:1ec:38d::/48, 2620:1ec:6::/48, 2620:1ec:4::/48, 2620:1ec:7::/48, 2a01:111:202d::/48, 2a01:111:202e::/48, 2620:1ec:a::/48, 2620:1ec:5::/48, 2a01:111:2003::/48, 2620:1ec:34::/48, 2620:1ec:a92::/48, 2a01:111:202c::/48, 2620:1ec:c11::/48, 2a01:111:2003::/48, 2620:1ec:b::/48). One of the existing endpoints in Exchange Online, 131.253.33.215 falls within the last range so we are removing it as a stand-alone IP.","False",,,
,"Exchange Online","11/24/2015 9:40:43 PM","9fe7017e-f920-45cf-b403-afd6018fe810","Effective 11/24/2015, the following IPv4 ranges will be servicing requests (131.253.33.215 and 134.170.68.0/23)","False",,,
,"Skype for Business Online","11/30/2015 11:33:08 AM","65663112-17a2-4187-bdc2-d5acee69212c","Effective 11/30/2015, the following IPv4 ranges will be servicing requests (131.253.162.64/26, 131.253.163.64/26, 131.253.164.0/26, 131.253.178.96/27, 131.253.178.128/27, 131.253.178.160/27, 131.253.178.64/27) additionally, the following IPv6 ranges have been added (2a01:111:f402:5802::/64, 2a01:111:202b:3::/64, 2a01:111:2b:1::/64)","False",,,
,"Skype for Business Online","12/3/2015 2:45:24 PM","9fe8106e-fa20-44cf-8402-afe6018ef910","Effective 1/3/2016, several new IPv4 and IPv6 endpoints will begin servicing requests including (131.253.130.192/26, 131.253.137.0/25, 131.253.140.0/25, 131.253.141.0/25, 131.253.142.128/25, 131.253.162.0/26, 131.253.162.192/26, 131.253.163.0/26, 131.253.165.0/26) and (2a01:111:202b:a::/64, 2a01:111:202b:9::/64, 2a01:111:202a:3::/64, 2a01:111:202a:2::/64, 2a01:111:f402:5805::/64, 2a01:111:2012:6::/64, 2a01:111:2012:7::/64, 2a01:111:2012:4::/64, 2a01:111:2012:5::/64, 2a01:111:f404:c0b::/64, 2a01:111:f404:c0c::/64, 2a01:111:200f:8::/64, 2a01:111:200f:9::/64). Additionally, the following IPv6 ranges have been removed and you can safely remove them from your filtering rules Ă‚Â (2a01:111:2a:a::/64, 2a01:111:2a:9::/64, 2a01:111:2b:2::/64, 2a01:111:2b:1::/64).","False",,,
,"Planner","12/3/2015 2:45:24 PM","d6018ef8-106d-4fa3-84bf-c5029fe7007e","Effective 1/3/2016, several new FQDN endpoints will begin servicing requests including (cus-000.tasks.osi.office.net, ea-000.tasks.osi.office.net, eus-zzz.tasks.osi.office.net, neu-000.tasks.osi.office.net, sea-000.tasks.osi.office.net, weu-000.tasks.osi.office.net, wus-000.tasks.osi.office.net). The following endpoints can safely be removed once these have been added to your filtering rules (cus-tasks.osi.office.net, ea-tasks.osi.office.net, eus-tasks.osi.office.net, neu-tasks.osi.office.net, sea-tasks.osi.office.net, weu-tasks.osi.office.net, wus-tasks.osi.office.net).","False",,,
,"Office 365 Portal","12/3/2015 2:45:24 PM","5cfb403a-fd60-418f-a810-6dfa304bfc50","Effective 1/3/2016, two new IPv4 endpoints will begin servicing requests including (23.96.241.205 and 40.113.10.78).","False",,,
,"Office 365 Identity","12/8/2015 3:25:15 PM","402afd60-18ef-4810-adfa-303bfc5029fe","Effective 1/9/2016 Office 365 identity will be adding the following IPv4 endpoints to service authentication (104.211.98.2, 104.211.98.6, 104.211.98.138, 104.211.98.146, 104.211.98.194, 104.211.98.246, 104.211.99.88, 104.211.99.127, 104.211.99.181, 104.211.99.236, 104.211.100.160, 104.211.100.170, 104.211.100.196, 104.211.100.204, 104.211.102.225, 104.211.160.36, 104.211.161.31, 104.211.161.69, 104.211.161.150, 104.211.161.165, 104.211.161.170, 104.211.161.171, 104.211.161.185, 104.211.162.33, 104.211.162.51, 104.211.162.180, 104.211.165.35, 104.211.166.139, 104.211.164.26, 104.211.165.64, 104.211.224.71, 104.211.224.118, 104.211.225.135, 104.211.225.215, 104.211.226.231, 104.211.226.240, 104.211.227.110, 104.211.227.238, 104.211.229.0, 104.211.230.178, 104.211.230.245, 104.211.231.218, 104.211.231.219, 104.211.231.147, 104.211.231.248). Additionally the following IPv4 endpoints will be removed (23.97.99.164, 23.97.102.90, 23.102.64.16, 23.102.65.171, 137.116.32.43, 137.116.129.62, 137.135.41.12, 137.135.44.5, 157.55.84.13, 157.55.84.80, 168.61.33.178, 168.61.39.14, 168.61.83.48, 168.61.85.193, 168.61.144.76, 168.61.208.197, 168.63.16.66, 168.63.16.141, 168.63.213.203, 168.63.216.117, 168.63.252.71, 191.233.32.111, 191.233.32.201, 91.237.128.159).","False",,,
,"Office Online","12/8/2015 3:25:15 PM","04bfc502-9fe7-4017-af92-05cfb303bfd6","Effective 1/9/2016 Office Online will be adding the following IPv4 endpoints (40.117.226.146, 104.41.62.54, 104.215.194.17, 137.116.172.39).","False",,,
,"Office 365 remote analyzer tools","12/10/2015 11:46:10 AM","18ef8106-dfa3-404b-bc50-29fe7007ef92","Effective 1/11/2016, Office 365 remote analyzer tools will add the following IPv4 endpoints (13.67.59.89, 40.85.91.8, 104.208.36.70)","False",,,
,"Office 365 Identity","12/14/2015 3:24:49 PM","05dfb303-bfd5-4029-be71-07ef9204cfc4","Effective 12/14/2015, please add the following IPv4 and IPv6 addresses to support identity (65.54.170.128/25, 131.253.120.128) and (2a01:111:f406:8801::/64, 2A01:111:F406:8000::/64, 2a01:111:f406:c00::/64, 2a01:111:200a:a::/64, 2a01:111:f406:1805::/64, 2a01:111:f406:1004::/64, 2a01:111:f406:1::/64, 2001:489a:2101:100::/64, 2a01:111:2035:8::/64, 2a01:111:f406:3404::/64).","False",,,
,"Exchange Online","12/14/2015 3:24:49 PM","f9205dfb-303b-4fd5-818f-e8106dfa204c","Clarifying IP range usage, the IP range (207.46.198.0/25) is listed under the Office 365 Portal and Identity section; however, this range is used exclusively for Exchange Online. We've moved the endpoint to the Exchange Online section only. If you're not using Exchange Online you can safely remove this range from your firewalls.","False",,,
,"Office 365 ProPlus","12/15/2015 5:34:53 PM","d5018fe8-106d-4fa2-84cf-c402afe6017e","Effective 12/15/2015, removing IP addresses that have been decommissioned from the Office 365 ProPlus section. Please remove these at your earliest convenience (157.55.44.71, 157.55.160.109, 157.55.192.81, 168.62.30.34).","False",,,
,"Office 365 Identity","12/21/2015 2:02:07 PM","8ef8106d-fa30-44bf-8502-9fe7007ef920","Effective 12/21/2015, Adding management.azure.com for customers using Azure AD Connect Health.","False",,,
,"Office 365 Video","1/6/2016 12:56:15 PM","29fe7007-ef92-405c-bb40-3afd6018fe81","Effective 1/6/2016: Adding additional FQDN to support video playback (*.keydelivery.mediaservices.windows.net)","False",,,
,"Office 365 Portal","1/13/2016 11:55:42 AM","17ef9105-dfb3-403b-bd50-19fe7106efa2","Effective 1/13/2016 to support connections to clientlog.portal.office.com (65.52.144.46, 65.52.176.186, 65.52.192.203, 70.37.96.155, 94.245.88.28, 111.221.96.149)","False",,,
,"Office 365 Portal","1/13/2016 11:55:42 AM","4bfc5029-fe70-417e-b920-5cfb303bfd60","Effective 2/13/2016 the following IP addresses will be required (13.76.218.117, 13.76.219.191, 13.76.219.210, 23.97.209.97, 23.99.109.44, 23.99.109.64, 40.113.8.255, 40.113.11.93, 40.113.14.159, 40.117.144.240, 40.117.151.29, 40.121.144.182, 104.46.38.64, 168.61.146.25, 168.61.149.17, 168.61.172.71, 168.63.18.79, 207.46.134.255)","False",,,
"InfoONly","Office 365 endpoints","2/8/2016 11:59:40 AM","29fe7017-ef92-405c-bb40-3afd6018fe81","Notes: Several updates to the organization of the page, highlights include; clarified which endpoints are accessible via ExpressRoute for Office 365, separated Identity and portal FQDN and IP address ranges, added deeper clarification around wildcard entries, added expand/collapse controls on the IP address tables to make scrolling easier, and reduced the port requirement to the minimum required. Additionally, updated the RSS feed to include the remaining details on a per endpoint basis. Note the XML file does not have portal and identity separated at this time.","True","Information - read description",,""
"Adding","Office 365 portal and shared","2/8/2016 11:59:40 AM","6018ef91-05df-4b30-bbfd-5029fe7107ef","Adding 8 New FQDNs; 1/[Effective 2/5/2016. Required: Some Office 365 features require endpoints within these domains. ER: No. Port: TCP 443. *.msedge.net], 2/[Effective 2/5/2016. Required: Shared infrastructure. ER: No. Port: TCP 443. Clientlog.portal.office.com], 3/[Effective 2/5/2016. Required: Office 365 Portal. ER: Yes. Port: TCP 443. outlook.office365.com], 4/[Effective 2/5/2016. Required: CDNs used for portal and shared. ER: No. Port: TCP 443. Prod.msocdn.com], 5/[Effective 2/5/2016. Required: Shared infrastructure. ER: No. Port: TCP 443. nexus.officeapps.live.com], 6/[Effective 2/5/2016. Optional: Shared help and support. ER: No. Port: TCP 443. technet.office.com], 7/[Effective 2/5/2016. Optional: Shared help and support. ER: No. Port: TCP 443. products.office.com], 8/[Effective 2/5/2016. Optional: Shared help and support. ER: No. Port: TCP 443. support.office.com]. Notes: We added more specific endpoints for several wildcard namespaces. We recommend adding the more specific namespaces where possible.","True","Adding 8 New FQDNs","We added more specific endpoints for several wildcard namespaces. We recommend adding the more specific namespaces where possible.",""
"Adding","Office 365 authentication and identity","2/8/2016 11:59:40 AM","106efa20-4cfc-4402-afe6-018ef9105dfb","Adding 9 New FQDNs; 1/[Effective 2/5/2016. Required: Authentication and identity. ER: Yes. Port: TCP 443. clientconfig.microsoftonline-p.net], 2/[Effective 2/5/2016. Required: Authentication and identity. ER: Yes. Port: TCP 443. hip.microsoftonline-p.net], 3/[Effective 2/5/2016. Required: Authentication and identity. ER: No. Port: TCP 443. secure.aadcdn.microsoftonline-p.com], 4/[Effective 2/5/2016. Optional: DirSync and AADConnect. ER: Yes. Port: TCP 443. adminwebservice.microsoftonline.com], 5/[Effective 2/5/2016. Optional: DirSync and AADConnect. ER: Yes. Port: TCP 443. Login.microsoftonline.com], 6/[Effective 2/5/2016. Optional: DirSync and AADConnect. ER: Yes. Port: TCP 443. Login.windows.net], 7/[Effective 2/5/2016. Optional: DirSync and AADConnect. ER: Yes. Port: TCP 443. provisioningapi.microsoftonline.com], 8/[Effective 2/5/2016. Optional: Azure AD Connect Health. ER: No. Port: TCP 443. management.azure.com], 9/[Effective 2/5/2016. Optional: DirSync and AADConnect. ER: No. Port: TCP 443. mscrl.microsoft.com]. Notes: We added more specific endpoints for several wildcard namespaces. We recommend adding the more specific namespaces where possible.","True","Adding 9 New FQDNs","We added more specific endpoints for several wildcard namespaces. We recommend adding the more specific namespaces where possible.",""
"Adding","Exchange Online","2/8/2016 11:59:40 AM","05dfb303-bfd5-4018-be81-06dfa204cfc4","Adding 1 New FQDNs; 1/[Effective 2/5/2016. Optional: Required for Delve. ER: No. Port: TCP 443. delve.office.com]. Notes: Office 365 Delve is moving under the Exchange Online heading.","True","Adding 1 New FQDNs","Office 365 Delve is moving under the Exchange Online heading.",""
"Adding","SharePoint Online","2/8/2016 11:59:40 AM","79308daf-012e-4638-b615-9e900eb0eafb","Adding 50 New FQDNs; 1/[Effective 2/5/2016. Optional: Required for Office 365 Video. ER: No. Port: TCP 443. cvprbl201m01.keydelivery.mediaservices.windows.net], 2/[Effective 2/5/2016. Optional: Required for Office 365 Video. ER: No. Port: TCP 443. cvprbl202m01.keydelivery.mediaservices.windows.net], 3/[Effective 2/5/2016. Optional: Required for Office 365 Video. ER: No. Port: TCP 443. cvprbl203m01.keydelivery.mediaservices.windows.net], 4/[Effective 2/5/2016. Optional: Required for Office 365 Video. ER: No. Port: TCP 443. cvprby101m01.keydelivery.mediaservices.windows.net], 5/[Effective 2/5/2016. Optional: Required for Office 365 Video. ER: No. Port: TCP 443. cvprby102m01.keydelivery.mediaservices.windows.net], 6/[Effective 2/5/2016. Optional: Required for Office 365 Video. ER: No. Port: TCP 443. cvprby103m01.keydelivery.mediaservices.windows.net], 7/[Effective 2/5/2016. Optional: Required for Office 365 Video. ER: No. Port: TCP 443. cvpram201m01.keydelivery.mediaservices.windows.net], 8/[Effective 2/5/2016. Optional: Required for Office 365 Video. ER: No. Port: TCP 443. cvpram202m01.keydelivery.mediaservices.windows.net], 9/[Effective 2/5/2016. Optional: Required for Office 365 Video. ER: No. Port: TCP 443. cvpram203m01.keydelivery.mediaservices.windows.net], 10/[Effective 2/5/2016. Optional: Required for Office 365 Video. ER: No. Port: TCP 443. cvprdb301m01.keydelivery.mediaservices.windows.net], 11/[Effective 2/5/2016. Optional: Required for Office 365 Video. ER: No. Port: TCP 443. cvprdb302m01.keydelivery.mediaservices.windows.net], 12/[Effective 2/5/2016. Optional: Required for Office 365 Video. ER: No. Port: TCP 443. cvprdb303m01.keydelivery.mediaservices.windows.net], 13/[Effective 2/5/2016. Optional: Required for Office 365 Video. ER: No. Port: TCP 443. cvprsg101m01.keydelivery.mediaservices.windows.net], 14/[Effective 2/5/2016. Optional: Required for Office 365 Video. ER: No. Port: TCP 443. cvprsg102m01.keydelivery.mediaservices.windows.net], 15/[Effective 2/5/2016. Optional: Required for Office 365 Video. ER: No. Port: TCP 443. cvprhkn01m01.keydelivery.mediaservices.windows.net], 16/[Effective 2/5/2016. Optional: Required for Office 365 Video. ER: No. Port: TCP 443. cvprhkn02m01.keydelivery.mediaservices.windows.net], 17/[Effective 2/5/2016. Optional: Required for Office 365 Video. ER: No. Port: TCP 443. cvpros101m01.keydelivery.mediaservices.windows.net], 18/[Effective 2/5/2016. Optional: Required for Office 365 Video. ER: No. Port: TCP 443. cvpros102m01.keydelivery.mediaservices.windows.net], 19/[Effective 2/5/2016. Optional: Required for Office 365 Video. ER: No. Port: TCP 443. cvprkw101m01.keydelivery.mediaservices.windows.net], 20/[Effective 2/5/2016. Optional: Required for Office 365 Video. ER: No. Port: TCP 443. cvprkw102m01.keydelivery.mediaservices.windows.net], 21/[Effective 2/5/2016. Optional: Required for Office 365 Video. ER: No. Port: TCP 443. cvpraueas101m01.keydelivery.mediaservices.windows.net], 22/[Effective 2/5/2016. Optional: Required for Office 365 Video. ER: No. Port: TCP 443. cvprausoe101m01.keydelivery.mediaservices.windows.net], 23/[Effective 2/5/2016. Optional: Required for Office 365 Video. ER: No. Port: TCP 443. cvprinwe101m01.keydelivery.mediaservices.windows.net], 24/[Effective 2/5/2016. Optional: Required for Office 365 Video. ER: No. Port: TCP 443. cvprinso101m02.keydelivery.mediaservices.windows.net], 25/[Effective 2/5/2016. Optional: Required for Office 365 Video. ER: No. Port: TCP 443. cvpreus01m01.keydelivery.mediaservices.windows.net], 26/[Effective 2/5/2016. Optional: Required for Office 365 Video. ER: No. Port: TCP 443. cvprbl201m01.streaming.mediaservices.windows.net], 27/[Effective 2/5/2016. Optional: Required for Office 365 Video. ER: No. Port: TCP 443. cvprbl202m01.streaming.mediaservices.windows.net], 28/[Effective 2/5/2016. Optional: Required for Office 365 Video. ER: No. Port: TCP 443. cvprbl203m01.streaming.mediaservices.windows.net], 29/[Effective 2/5/2016. Optional: Required for Office 365 Video. ER: No. Port: TCP 443. cvprby101m01.streaming.mediaservices.windows.net], 30/[Effective 2/5/2016. Optional: Required for Office 365 Video. ER: No. Port: TCP 443. cvprby102m01.streaming.mediaservices.windows.net], 31/[Effective 2/5/2016. Optional: Required for Office 365 Video. ER: No. Port: TCP 443. cvprby103m01.streaming.mediaservices.windows.net], 32/[Effective 2/5/2016. Optional: Required for Office 365 Video. ER: No. Port: TCP 443. cvpram201m01.streaming.mediaservices.windows.net], 33/[Effective 2/5/2016. Optional: Required for Office 365 Video. ER: No. Port: TCP 443. cvpram202m01.streaming.mediaservices.windows.net], 34/[Effective 2/5/2016. Optional: Required for Office 365 Video. ER: No. Port: TCP 443. cvpram203m01.streaming.mediaservices.windows.net], 35/[Effective 2/5/2016. Optional: Required for Office 365 Video. ER: No. Port: TCP 443. cvprdb301m01.streaming.mediaservices.windows.net], 36/[Effective 2/5/2016. Optional: Required for Office 365 Video. ER: No. Port: TCP 443. cvprdb302m01.streaming.mediaservices.windows.net], 37/[Effective 2/5/2016. Optional: Required for Office 365 Video. ER: No. Port: TCP 443. cvprdb303m01.streaming.mediaservices.windows.net], 38/[Effective 2/5/2016. Optional: Required for Office 365 Video. ER: No. Port: TCP 443. cvprsg101m01.streaming.mediaservices.windows.net], 39/[Effective 2/5/2016. Optional: Required for Office 365 Video. ER: No. Port: TCP 443. cvprsg102m01.streaming.mediaservices.windows.net], 40/[Effective 2/5/2016. Optional: Required for Office 365 Video. ER: No. Port: TCP 443. cvprhkn01m01.streaming.mediaservices.windows.net], 41/[Effective 2/5/2016. Optional: Required for Office 365 Video. ER: No. Port: TCP 443. cvprhkn02m01.streaming.mediaservices.windows.net], 42/[Effective 2/5/2016. Optional: Required for Office 365 Video. ER: No. Port: TCP 443. cvpros101m01.streaming.mediaservices.windows.net], 43/[Effective 2/5/2016. Optional: Required for Office 365 Video. ER: No. Port: TCP 443. cvpros102m01.streaming.mediaservices.windows.net], 44/[Effective 2/5/2016. Optional: Required for Office 365 Video. ER: No. Port: TCP 443. cvprkw101m01.streaming.mediaservices.windows.net], 45/[Effective 2/5/2016. Optional: Required for Office 365 Video. ER: No. Port: TCP 443. cvprkw102m01.streaming.mediaservices.windows.net], 46/[Effective 2/5/2016. Optional: Required for Office 365 Video. ER: No. Port: TCP 443. cvpraueas101m01.streaming.mediaservices.windows.net], 47/[Effective 2/5/2016. Optional: Required for Office 365 Video. ER: No. Port: TCP 443. cvprausoe101m01.streaming.mediaservices.windows.net], 48/[Effective 2/5/2016. Optional: Required for Office 365 Video. ER: No. Port: TCP 443. cvprinwe101m01.streaming.mediaservices.windows.net], 49/[Effective 2/5/2016. Optional: Required for Office 365 Video. ER: No. Port: TCP 443. cvprinso101m02.streaming.mediaservices.windows.net], 50/[Effective 2/5/2016. Optional: Required for Office 365 Video. ER: No. Port: TCP 443. cvpreus01m01.streaming.mediaservices.windows.net]. Notes: Replaced the wildcards which encompass more than just Office 365 Video endpoints with the specific endpoints for Office 365 Video.","True","Adding 50 New FQDNs","Replaced the wildcards which encompass more than just Office 365 Video endpoints with the specific endpoints for Office 365 Video.",""
"Adding","Skype for Business Online","2/8/2016 11:59:40 AM","07efa204-cfc4-402a-bd60-18ef8105dfb3","Adding 8 New FQDNs; 1/[Effective 2/5/2016. Required: Skype Meeting Broadcast. ER: Yes. Port: TCP 443. *.microsoftonline.com], 2/[Effective 2/5/2016. Required: Skype Meeting Broadcast. ER: No. Port: TCP 443. broadcast.skype.com], 3/[Effective 2/5/2016. Required: Skype Meeting Broadcast. ER: No. Port: TCP 443. *.broadcast.skype.com], 4/[Effective 2/5/2016. Required: Skype Meeting Broadcast. ER: No. Port: TCP 443. *.infra.lync.com], 5/[Effective 2/5/2016. Required: Skype Meeting Broadcast. ER: No. Port: TCP 80 & 443. aka.ms], 6/[Effective 2/5/2016. Required: Skype Telemetry. ER: No. Port: TCP 443. skypemaprdsitus.trafficmanager.net], 7/[Effective 2/5/2016. Required: Skype Telemetry. ER: No. Port: TCP 443. pipe.skype.com], 8/[Effective 2/5/2016. Required: Skype client quicktips. ER: No. Port: TCP 443. quicktips.skypeforbusiness.com]. Notes: Adding several FQDNs to support Skype Meeting Broadcast and Telemetry.","True","Adding 8 New FQDNs","Adding several FQDNs to support Skype Meeting Broadcast and Telemetry.",""
"Removing","Office 365 authentication and identity","2/8/2016 11:59:40 AM","cfc402af-d601-48ef-8106-dfb303bfc502","Removing 2 Old FQDNs; 1/[Effective 2/5/2016. Required: CDNs used for portal and authentication. ER: No. Port: TCP 443. *.microsoftonlineimages.com], 2/[Effective 2/5/2016. Required: Dirsync and AADConnect. ER: No. Port: TCP 80 & 443. mscrl.microsoftonline.com]. Notes: microsoftonlineimages.com is no longer used and mscrl has been replaced by a different CRL above.","True","Removing 2 Old FQDNs","microsoftonlineimages.com is no longer used and mscrl has been replaced by a different CRL above.",""
,"Office 365 portal and shared","2/8/2016 11:59:40 AM","9205cfc4-03af-4d60-98ef-8106dfa304bf","Removing 3 Old IP_Sets; 1/[Effective 2/5/2016. Required: Office 365 Edge IP ranges. ER: Yes. Port: TCP 443. 13.107.1.0/24, 13.107.3.0/24, 13.107.4.0/24, 13.107.15.0/24, 13.107.16.0/24, 131.253.3.0/24, 131.253.21.0/24, 191.234.4.0/24, 191.234.5.0/24, 191.234.7.0/24, 202.89.233.0/24], 2/[Effective 2/5/2016. Required: Licensing services. ER: No. Port: TCP 443. 65.52.129.119, 138.91.246.237, 168.63.18.131, 168.63.139.159], 3/[Effective 2/5/2016. Required: Office 365 Edge IP ranges. ER: Yes. Port: TCP 443. 23.97.139.122, 65.52.129.119, 65.52.209.62, 70.37.81.47, 137.116.49.210, 137.116.64.35, 137.116.65.59, 137.117.146.106, 137.117.198.210, 137.135.60.254, 137.135.160.110, 138.91.64.46, 138.91.246.237, 157.55.80.41, 157.55.168.184, 157.56.162.166, 168.62.202.67, 168.63.18.131, 168.63.52.117, 168.63.139.159, 168.63.152.235, 168.63.173.188, 168.63.252.62, 191.234.55.177, 191.238.224.150, 207.46.129.169]. Notes: removing IP addresses for edge and licensing that are no longer used by Office 365.","False",,,
"Removing","SharePoint Online","2/8/2016 11:59:40 AM","cfc402af-e701-47ef-9205-dfb303bfd501","Removing 3 Old FQDNs; 1/[Effective 2/5/2016. Optional: Required for Office 365 Video. ER: No. Port: TCP 443. *.keydelivery.mediaservices.windows.net], 2/[Effective 2/5/2016. Optional: Required for Office 365 Video. ER: No. Port: TCP 443. *.streaming.mediaservices.windows.net], 3/[Effective 2/5/2016. Optional: Required for Delve. ER: No. Port: TCP 443. r3.res.outlook.com]. Notes: Replaced the wildcards which encompass more than just Office 365 Video endpoints with the specific endpoints for Office 365 Video and Office 365 Delve is moving under the Exchange Online heading.","True","Removing 3 Old FQDNs","Replaced the wildcards which encompass more than just Office 365 Video endpoints with the specific endpoints for Office 365 Video and Office 365 Delve is moving under the Exchange Online heading.",""
"InfoONly","Office 365 endpoints","2/10/2016 10:29:02 AM","8106dfa3-04bf-4c50-a9fe-7017ef9205cf","Notes: Several updates that are effective today, these are updates where the endpoint is live today for a small subset of customers and will be expanded over the next 30-60 days or weĂ˘â‚¬â„˘re reducing the IP exposure from a broader segment to a smaller segment or individual IP address. While the effective date is 2/9, replacing these IP addresses on your FW can safely be done at your convenience.","True","Information - read description",,""
